nombre,camara,partido_politico,seccion,renueva
Sabrina Bastida,SENADO,UxP,Capital,NO
Pedro Francisco Borgini,SENADO,UxP,Capital,NO
Marcelo Leguizamón Brown,SENADO,PRO,Capital,NO
Gustavo Soos,SENADO,UxP,Primera,SI
Luis Omar Vivona,SENADO,UxP,Primera,SI
Sofia Vannelli,SENADO,UxP,Primera,SI
Maria Teresa Garcia,SENADO,UxP,Primera,SI
Christian Alejandro Gribaudo,SENADO,PRO,Primera,SI
Aldana Julieta Ahumada,SENADO,PRO,Primera,SI
Daniela Elizabeth Reich,SENADO,LLA,Primera,SI
Joaquin De la Torre,SENADO,Derecha Popular,Primera,SI
Sergio Alejandro Berni,SENADO,UxP,Segunda,NO
Laura Magdalena Clark,SENADO,UxP,Segunda,NO
Juan Manuel Rico Zini,SENADO,PRO,Segunda,NO
Maria Emilia Subiza,SENADO,PRO,Segunda,NO
Carlos Francisco Kikuchi,SENADO,Unión y Libertad,Segunda,NO
Amira Curi,SENADO,UXP,Tercera,NO
Federico Fagioli,SENADO,UXP,Tercera,NO
Emmanuel Severo González Santalla,SENADO,UXP,Tercera,NO
Maria Rosa Martinez,SENADO,UXP,Tercera,NO
Adrián Carlos Santarelli,SENADO,UXP,Tercera,NO
Jorge Schiavone,SENADO,PRO,Tercera,NO
Maria Florencia Arietto,SENADO,LLA,Tercera,NO
Carlos Nicolas Curestis,SENADO,LLA,Tercera,NO
Betina Clara Riva,SENADO,LLA,Tercera,NO
María Elena Defunchio,SENADO,UxP,Cuarta,SI
Walter Sergio Torchio,SENADO,UxP,Cuarta,SI
Daniela Viera,SENADO,UxP,Cuarta,SI
Yamila Araceli Alonso,SENADO,PRO,Cuarta,SI
Marcelo Daletto,SENADO,UCR + Cambio Federal,Cuarta,SI
Eugenia Gil,SENADO,UCR + Cambio Federal,Cuarta,SI
Agustín Maspoli,SENADO,UCR + Cambio Federal,Cuarta,SI
Gabriela Demaría,SENADO,UxP,Quinta,SI
Pablo David Obeid,SENADO,UxP,Quinta,SI
Alejandro Daniel Rabinovich,SENADO,PRO,Quinta,SI
Flavia Delmonte,SENADO,UCR + Cambio Federal,Quinta,SI
Ariel Martinez Bordaisco,SENADO,UCR + Cambio Federal,Quinta,SI
Ayelén Durán,SENADO,UxP,Sexta,NO
Marcelo Enrique Feliú,SENADO,UxP,Sexta,NO
Alex Campbell,SENADO,PRO,Sexta,NO
Nerina Daniela Neumann,SENADO,UCR + Cambio Federal,Sexta,NO
Sergio Raul Vargas,SENADO,Unión y Libertad,Sexta,NO
Silvana Paola Ventura,SENADO,Unión y Libertad,Sexta,NO
Eduardo Bucca,SENADO,UxP,Séptima,SI
Luis Alejandro Cellillo,SENADO,UCR + Cambio Federal,Séptima,SI
Maria Lorena Mandagarán,SENADO,UCR + Cambio Federal,Séptima,SI
Juan Ariel Archanco,DIPUTADOS,UxP,Capital,SI
Lucía Iañez,DIPUTADOS,UxP,Capital,SI
Juan Martín Malpeli,DIPUTADOS,UxP,Capital,SI
Fabián Perechodnik,DIPUTADOS,PRO,Capital,SI
Julieta Elisabet Quintero Chasman,DIPUTADOS,PRO,Capital,SI
Claudio Gustavo Frangul,DIPUTADOS,Acuerdo cívico - UCR + Gen,Capital,SI
Soledad Antonia Alonso,DIPUTADOS,UxP,Primera,NO
Ana Luz Balor,DIPUTADOS,UxP,Primera,NO
Hector Ruben Eslaiman,DIPUTADOS,UxP,Primera,NO
Leonardo José Moreno,DIPUTADOS,UxP,Primera,NO
Margarita Alejandra Recalde,DIPUTADOS,UxP,Primera,NO
Jorge Martín Rodriguez Alberti,DIPUTADOS,UxP,Primera,NO
María Noelia Saavedra,DIPUTADOS,UxP,Primera,NO
Ana Rita Sallaberry,DIPUTADOS,PRO,Primera,NO
Agustín Forchieri,DIPUTADOS,PRO,Primera,NO
Jazmín Ailén Carrizo,DIPUTADOS,LLA,Primera,NO
Oriana Colugnatti,DIPUTADOS,LLA,Primera,NO
Juan José Esper Zamar,DIPUTADOS,LLA,Primera,NO
Teodoro Ramón Vera Chavez,DIPUTADOS,LLA,Primera,NO
Carlos Fabián Luayza Troncozo,DIPUTADOS,Unión renovación y fe,Primera,NO
Viviana Yolanda Romano,DIPUTADOS,Unión renovación y fe,Primera,NO
María Salomé Jalil Toledo,DIPUTADOS,Unión y Libertad,Primera,NO
Lucia Lorena Klug,DIPUTADOS,UxP,Segunda,SI
Carlos Javier Puglelli,DIPUTADOS,UxP,Segunda,SI
Fernanda Diaz,DIPUTADOS,UxP,Segunda,SI
Naldo Raúl Adalberto Brunelli,DIPUTADOS,UxP,Segunda,SI
Fernanda Antonijevic,DIPUTADOS,PRO,Segunda,SI
María Paula Bustos,DIPUTADOS,PRO,Segunda,SI
Matias Fernando Ranzini,DIPUTADOS,PRO,Segunda,SI
Claudio Alberto Rossi,DIPUTADOS,UCR + Cambio Federal,Segunda,SI
María Belén Malaisi,DIPUTADOS,UCR + Cambio Federal,Segunda,SI
Julio Pasqualin,DIPUTADOS,Acuerdo cívico - UCR + Gen,Segunda,SI
Viviana Andrea Dirolli,DIPUTADOS,Acuerdo cívico - UCR + Gen,Segunda,SI
Susana Haydee Gonzalez,DIPUTADOS,UxP,Tercera,SI
Mariana Larroque,DIPUTADOS,UxP,Tercera,SI
Berenice Ivana Latorre De Caro,DIPUTADOS,UxP,Tercera,SI
Liliana Alejandra Pintos,DIPUTADOS,UxP,Tercera,SI
Ayelén Itatí Rasquetti,DIPUTADOS,UxP,Tercera,SI
Ricardo Luis Rolleri,DIPUTADOS,UxP,Tercera,SI
Nicolas Russo,DIPUTADOS,UxP,Tercera,SI
Facundo Tignanelli,DIPUTADOS,UxP,Tercera,SI
Martiniano Molina,DIPUTADOS,PRO,Tercera,SI
Adrian Gonzalo Urreli,DIPUTADOS,PRO,Tercera,SI
Sebastián María Pascual,DIPUTADOS,LLA,Tercera,SI
María Florencia Retamoso,DIPUTADOS,LLA,Tercera,SI
Pablo Matías Domenichini,DIPUTADOS,Acuerdo cívico - UCR + Gen,Tercera,SI
Nazarena Carla Mesias,DIPUTADOS,Acuerdo cívico - UCR + Gen,Tercera,SI
Maricel Etchecoin Moro,DIPUTADOS,Coalición cívica,Tercera,SI
Constanza Moragues Santos,DIPUTADOS,Unión y Libertad,Tercera,SI
María Laura Cano Kelly,DIPUTADOS,PTS-Frente de Izquierda Unidad,Tercera,SI
Guillermo Pacagnini,DIPUTADOS,PTS-Frente de Izquierda Unidad,Tercera,SI
German Di Cesare,DIPUTADOS,UxP,Cuarta,NO
Alexis Guerrera,DIPUTADOS,UxP,Cuarta,NO
Viviana Raquel Guzzo,DIPUTADOS,UxP,Cuarta,NO
Micaela Edith Olivetto,DIPUTADOS,UxP,Cuarta,NO
Avelino Ricardo Zurro,DIPUTADOS,UxP,Cuarta,NO
Maria Laura Ricchini,DIPUTADOS,PRO,Cuarta,NO
Fernando Rovello,DIPUTADOS,PRO,Cuarta,NO
Luciano David Bugallo Di Prinzio,DIPUTADOS,Coalición cívica,Cuarta,NO
Gustavo Sergio Cuervo,DIPUTADOS,Unión renovación y fe,Cuarta,NO
Valentin Miranda,DIPUTADOS,UCR + Cambio Federal,Cuarta,NO
María Silvina Vaccarezza,DIPUTADOS,UCR + Cambio Federal,Cuarta,NO
Blanca Elida Alessi,DIPUTADOS,Unión y Libertad,Cuarta,NO
Martín Adolfo Rozas,DIPUTADOS,Unión y Libertad,Cuarta,NO
Marcela María Amelia Basualdo,DIPUTADOS,UxP,Quinta,NO
Juan Pablo De Jesus,DIPUTADOS,UxP,Quinta,NO
Luciana Padulo,DIPUTADOS,UxP,Quinta,NO
Gustavo Arnaldo Pulti,DIPUTADOS,UxP,Quinta,NO
Geraldine Carvella,DIPUTADOS,LLA,Quinta,NO
Sofía Pomponio,DIPUTADOS,LLA,Quinta,NO
Gastón Andrés Abonjo,DIPUTADOS,LLA,Quinta,NO
Romina Natalí Braga,DIPUTADOS,Coalición cívica,Quinta,NO
Diego Raúl Garciarena,DIPUTADOS,UCR + Cambio Federal,Quinta,NO
Matías Raúl Civale,DIPUTADOS,Acuerdo cívico - UCR + Gen,Quinta,NO
Sabrina Inés Sabat,DIPUTADOS,Unión y Libertad,Quinta,NO
Maite Milagros Alvado,DIPUTADOS,UxP,Sexta,SI
Maria Fernanda Bevilacqua,DIPUTADOS,UxP,Sexta,SI
Enrique Alejando Dichiara,DIPUTADOS,UxP,Sexta,SI
Carlos Julio Moreno,DIPUTADOS,UxP,Sexta,SI
Gustavo Javier Coria,DIPUTADOS,PRO,Sexta,SI
Guillermo Ricardo Castello,DIPUTADOS,LLA,Sexta,SI
Fernando Matías Compagnoni,DIPUTADOS,LLA,Sexta,SI
Abigail Gabriela Gomez,DIPUTADOS,LLA,Sexta,SI
Emiliano Balbin,DIPUTADOS,UCR + Cambio Federal,Sexta,SI
Anahí Silvina Bilbao,DIPUTADOS,UCR + Cambio Federal,Sexta,SI
Natalia Lorena Dziakowski,DIPUTADOS,Acuerdo cívico - UCR + Gen,Sexta,SI
Maria Laura Aloisi,DIPUTADOS,UxP,Séptima,NO
Ricardo Lissalde,DIPUTADOS,UxP,Séptima,NO
Martín Julián Endere,DIPUTADOS,PRO,Séptima,NO
Agustín Romo,DIPUTADOS,LLA,Séptima,NO
Maria Laura Fernández,DIPUTADOS,Unión y Libertad,Séptima,NO
Maria Alejandra Lorden,DIPUTADOS,UCR + Cambio Federal,Séptima,NO
